"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"780674",481664,793845,551495,779175,582280
"780873",481664,793845,43980,729317,608432
"781253",481664,729317,793845,593483,350271
"782254",793845,350271,481664,608432,735973
"783348",793845,729317,735973,478448,593483
"784277",168769,481664,755431,779175,80635
"784543",793845,551495,608432,729317,593483
"784644",793845,735973,481664,755431,350271
"785432",793845,530136,729317,481664,645568
"787331",481664,350271,793845,2818,245927
"788351",350271,245927,481664,793845,595990
"789630",793845,729317,613088,481664,705423
"789743",793845,593483,729317,735973,570753
"791690",793845,188347,729317,481664,255809
"793499",481664,350271,613110,729317,418901
"793845",530136,779175,515088,240191,740616
"794322",770281,793845,593483,302426,729317
"794927",793845,705423,729317,350271,302426
"796683",481664,350271,793845,613110,551495
"798189",481664,350271,729317,793845,593483
"798941",350271,481664,755431,779175,613110
"800095",793845,744659,729317,608432,735973
"800723",481664,729317,2818,245927,735973
"801544",481664,593483,793845,729317,350271
"802052",593483,793845,784277,406794,656268
"805368",793845,593483,784277,705423,735973
"807269",350271,793845,593483,481664,729317
"807531",481664,793845,343094,608432,43980
"809177",793845,698672,593483,705423,370870
"810730",481664,729317,793845,350271,589237
"811651",729317,551495,793845,481664,735973
"814991",481664,793845,551495,350271,735973
"815050",793845,735973,729317,481664,551495
"815872",793845,811651,608432,735973,729317
"816048",793845,302426,343094,666142,481664
